index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
6fe9b072be383a7a6e477d24c7f05776,2025-11-03T09:21:00Z,'Unwetter',www.stern.de,de,0.0,"Wind, Regen, Gewitter: Hier sehen Sie aktuelle Wetterwarnungen für Ihren Wohnort","Droht ein Unwetter, gibt der Deutsche Wetterdienst (DWD) eine Warnung mit Gefahrenhinweisen heraus. Sehen Sie hier, ob es aktuelle Warnungen für ihren Wohnort gibt.",https://www.stern.de/panorama/wetter/unwetter--sturm--regen--hier-finden-sie-aktuelle-warnungen-des-dwd-35919622.html,https://image.stern.de/35923446/t/Dr/v2/w1440/r1.7778/-/teaser-ani-unwetterwarnung.gif,http://web.archive.org/web/20251105153015/https://www.stern.de/panorama/wetter/unwetter--sturm--regen--hier-finden-sie-aktuelle-warnungen-des-dwd-35919622.html,"Die Karten in diesem Artikel zeigen aktuelle Unwetterwarnungen des Deutschen Wetterdienstes (DWD). Die Warnungen sind je nach Abstufung unterschiedlich eingefärbt. Eine grüne Einfärbung bedeutet, das… [+1389 chars]",
46e8109e79f3beda6a23028db5e05c0e,2025-11-03T15:22:05Z,'Unwetter',www.sueddeutsche.de,de,0.0,Stürme und Unwetter: Wie gefährlich umstürzende Bäume für Züge sind,Am Kolumbusplatz ist nach einem Sturm jüngst ein Regionalexpress mit einem Baum kollidiert. Was unternimmt die Bahn gegen solche Unfälle? Und gibt es bessere Gegenmaßnahmen?,https://www.sueddeutsche.de/muenchen/muenchen-deutsche-bahn-s-bahn-sicherheit-unfaelle-sturm-baeume-li.3331533,https://www.sueddeutsche.de/2025/11/03/a0ac080d-86f0-4a44-8fee-0a4d489c54b5.jpg?q=60&fm=webp&width=1200&rect=0%2C209%2C4000%2C2250,,"Wie anfällig die Infrastruktur in Deutschland ist, zeigt sich Anfang Dezember vor nahezu zwei Jahren. Binnen weniger Stunden fällt in Oberbayern ein halber Meter Schnee. Weichen in München und dem Um… [+452 chars]",
06c07e8290fdda290d8966861d40aada,2025-11-04T12:37:00Z,'Unwetter',www.dw.com,de,0.0,"Taifun ""Kalmaegi"" bringt Philippinen Tod und Zerstörung",Unwetter gibt es in Südostasien während der Regenzeit zwischen Juni und November oft. Durch den Klimawandel werden extreme Wetterereignisse aber häufiger. Derzeit wütet ein Wirbelsturm über den Philippinen.,https://www.dw.com/de/taifun-kalmaegi-bringt-philippinen-tod-und-zerst%C3%B6rung/a-74611102,https://static.dw.com/image/74606748_6.jpg,,"Heftige Böen, meterhohe Flutwellen, zerstörte Häuser: Der Taifun ""Kalmaegi"" setzt den Philippinen zu. Der Wirbelsturm brachte orkanartige Böen, heftige Regenfälle und meterhohe Flutwellen über Teile … [+3485 chars]",
f26adab26d259e01dddf3860416d8093,2025-11-04T15:13:07Z,'Pegelstände',www.stern.de,de,0.0,Stadt prüft nach Verschwinden der Münchner Eisbachwelle Anpassung von Pegeln,"Nach dem Verschwinden der berühmten Surferwelle am Münchner Eisbach prüft die Stadt München eine Anpassung der Pegelstände. ""Die vielen Parameter, die im Fließgewässer für die Welle sorgen, werden untersucht und entsprechend angepasst"", teilte Oberbürgermeist…",https://www.stern.de/news/stadt-prueft-nach-verschwinden-der-muenchner-eisbachwelle-anpassung-von-pegeln-36188624.html,https://image.stern.de/36188626/t/Fp/v1/w1440/r1.7778/-/04--eisbachwelle-2021---94c5f613df5be55f.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen

Nach dem Verschwinden der berühmten Surferwelle am Münchner Eisbach prüft die Stadt München eine Anpassung der Pegelstände. ""Die vielen Parameter… [+1170 chars]",
aa8fd66e11efe031bae7b58ea2ea49e6,2025-11-04T17:36:23Z,'Pegelstände',www.zeit.de,de,0.0,Eisbachwelle: München will die verschwundene Eisbachwelle wiederherstellen,"Seit der Münchner Eisbach von Unrat und Sedimenten befreit wurde, baut sich die bei Surfern beliebte Eisbachwelle nicht mehr auf. Die Stadt will die Pegelstände anpassen.",https://www.zeit.de/gesellschaft/2025-11/eisbachwelle-muenchen-verschwunden-surfer-pegelstaende,https://img.zeit.de/administratives/sharing/fallback-image-die-zeit/wide__1300x731,,"Münchens bei Surfern beliebte Eisbachwelle soll möglichst wiederhergestellt werden. Man befinde sich in engem Austausch mit der Interessengemeinschaft Surfen in München (IGSM), um alles dafür zu tun,… [+911 chars]",
e9a5314e91580d7cc0cd3e1f646ff2f8,2025-11-06T04:55:00Z,'Unwetter',www.stern.de,de,0.0,Vorschau: TV-Tipps am Donnerstag,"20:15 Uhr, Das Erste, Sturmtief: Der Usedom-Krimi, Krimi
 Karin (Katrin Sass) nimmt eine Frau (Valery Tscheplanowa) und deren angeblichen Sohn (Oliver Szerkus) bei sich auf, die in einem auf der Insel wütenden Unwetter verletzt wurden. In Karin erwacht sofort…",https://www.stern.de/kultur/vorschau--tv-tipps-am-donnerstag-36193564.html,https://image.stern.de/36193568/t/Jc/v1/w1440/r1.7778/-/06--tv-tipps-am-donnerstag---16-9---spoton-article-1119603.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Karin (Katrin Sass) nimmt eine Frau (Valery Tscheplanowa) und deren angeblichen Sohn (Oliver Szerkus) bei sich auf, die in einem auf der Insel wü… [+2228 chars]",
bd5ae77981eff71acfd35f6f4e10dadb,2025-11-07T11:43:00Z,'Unwetter',www.dw.com,de,0.0,"Taifun ""Kalmaegi"" wütet in Vietnam - Fünf Tote","Seit Tagen zieht ein schwerer Wirbelsturm über Südostasien. Die Spur der Verwüstung reicht inzwischen von den Philippinen bis Vietnam. Und auf dem Pazifik braut sich ein neues Unwetter zusammen. ""Kalmaegi"" ist der 13. Taifun in diesem Jahr im Südchinesischen …",https://www.dw.com/de/taifun-kalmaegi-w%C3%BCtet-in-vietnam-f%C3%BCnf-tote/a-74659035,https://static.dw.com/image/74656080_6.jpg,,"""Kalmaegi"" ist der 13. Taifun in diesem Jahr im Südchinesischen Meer. Nachdem der Wirbelsturm auf den Philippinen Anfang der Woche Tod und Zerstörung gebracht hatte, traf er am späten Donnerstag weit… [+3839 chars]",
7dd7e4268e7dd8f2455693267ef03e05,2025-11-08T07:19:07Z,'Unwetter',www.diepresse.com,de,0.0,Seit 1980 haben sich die Unwetterschäden in Industrienationen vervielfacht,"Deutschland zählt mit einem Anstieg um etwa das Fünffache zu den am schwersten getroffenen Nationen. An erster Stelle der Katastrophen-Rangliste stehen die USA mit 2,7 Billionen Dollar Schäden.",https://www.diepresse.com/20282749/seit-1980-haben-sich-die-unwetterschaeden-in-industrienationen,https://img.diepresse.com/public/incoming/g1zbsq-imago-images-0838144131/alternates/DPR_SOCIAL_NACHRICHTEN/imago%20images%200838144131,,"Deutschland zählt mit einem Anstieg um etwa das Fünffache zu den am schwersten getroffenen Nationen. An erster Stelle der Katastrophen-Rangliste stehen die USA mit 2,7 Billionen Dollar Schäden.
Die … [+1880 chars]",
953f60fd0c92aecd1ff41c44b82dfa0e,2025-11-08T07:39:10Z,'Unwetter',www.n-tv.de,de,0.0,Analyse der Munich Re: Unwetterschäden in Industrienationen seit 1980 vervielfacht,"Warme Luft kann mehr Feuchtigkeit aufnehmen als kalte, steigende Temperaturen ziehen mehr Unwetter nach sich. Die Folgen für die Industrienationen sind kostspielig, zeigt eine Analyse der Munich Re.",https://www.n-tv.de/wirtschaft/Unwetterschaeden-in-Industrienationen-seit-1980-vervielfacht-article26149107.html,https://www.n-tv.de/img/incoming/crop26149108/6711324555-cImg_16_9-w1200/1cb024c1d9b99852f5b8b14e01a59c33.jpg,,"Warme Luft kann mehr Feuchtigkeit aufnehmen als kalte, steigende Temperaturen ziehen mehr Unwetter nach sich. Die Folgen für die Industrienationen sind kostspielig, zeigt eine Analyse der Munich Re.
… [+1849 chars]",
b35d08ca182d6b5762fa188e0bcd9224,2025-11-08T09:07:21Z,'Unwetter',www.tagesschau.de,de,0.0,Unwetterschäden kosten den Industrieländer immer mehr Wohlstand,"Seit 1980 haben sich die Kosten für Unwetterschäden in den großen Industrienationen vervielfacht. Besonders deutlich ist der Anstieg in den USA und Deutschland, berichtet der Rückversicherer Munich Re. Positiv sei der Trend in China.",https://www.tagesschau.de/wirtschaft/weltwirtschaft/industrienationen-unwetter-schaeden-100.html,https://images.tagesschau.de/image/43defe05-20e0-460c-9bea-fbe21ffb627c/AAABldca8QM/AAABmgWmh8Q/16x9-big/ahrtal-flut-102.jpg?width=1280,http://web.archive.org/web/20251109113009/https://www.tagesschau.de/wirtschaft/weltwirtschaft/industrienationen-unwetter-schaeden-100.html,"Stand: 08.11.2025 10:07 Uhr
Seit 1980 haben sich die Kosten für Unwetterschäden in den großen Industrienationen vervielfacht. Besonders deutlich ist der Anstieg in den USA und Deutschland, berichtet… [+2609 chars]",
