0,1,2,3,4,word,summary
26039.871724658835,3.424959499187918,0.00545261587735546,0.0025697240176124625,2.220446049250313e-16,summaryOfAllWords,22469.9827419234
12.529363208692281,-10.256030707811254,0.25109028672273376,0.21459555083843204,-7.360778653264788e-14,Sturmtief,24.66345419934761
-3.4420414676935787,-0.9165880927835279,0.3171361615405335,-0.1747111368846186,2.9976021664879227e-15,zieht,6.160986562444287
-6.450884471837011,0.8454884558901921,0.28439171230034105,-0.2682812574304738,2.3647750424515834e-14,sturm+tief zieh+t,2.673654683591921
-6.2411208505053,0.7007795227528784,0.3534486325571223,-0.33438519514949916,2.853273173286652e-14,Jetzt,2.927897368875595
-6.2411208505053,0.7007795227528784,0.3534486325571223,-0.33438519514949916,2.853273173286652e-14,zieh+t jetzt,2.927897368875595
-6.015085479982356,0.5441962442123602,0.41822820510479314,-0.40011819665102194,3.3861802251067274e-14,folgen,3.202160278788938
-6.015085479982356,0.5441962442123602,0.41822820510479314,-0.40011819665102194,3.3861802251067274e-14,jetzt folg+en,3.202160278788938
18.00167415893221,-14.004882189837861,1.235674424219824,-1.2798579478772232,7.738254481637341e-14,Dauerregen,31.27927379719567
-5.280983286940311,0.03729821227394137,0.5829370963286715,-0.5820719453036339,4.9182879990894435e-14,folg+en dauer+regen,4.091942308468659
-2.1202884597683633,-1.7323928837563942,0.3341656464858746,0.3307743003024615,-7.638334409421077e-14,Schnee,7.716027670541411
-6.292071197786908,0.7360122792987949,0.3375575059640932,-0.31880455749717496,2.7422508708241367e-14,dauer+regen schnee,2.866103805783181
-5.675228344456549,0.3088858403260717,0.5015938629004445,-0.48970845678523545,4.118927421359331e-14,Stürmisches,3.614430197844287
-6.42265277247271,0.8260773486681994,0.2942771091467757,-0.27748659498607536,2.4313884239290928e-14,schnee stürmisch+es,2.7078418313368777
18.30264588898381,-13.671537209079938,0.4761078202254671,0.13689468205127092,-8.504308368628699e-14,Wetter,31.37209822331849
-5.112780741681748,-0.17302553832452183,0.8577903614575881,-0.45267000332536267,1.0769163338864018e-14,stürmisch+es wetter,4.345486471383946
-0.9529547757318078,-2.3465564704888284,0.1933760119561122,-0.059817757758404554,-9.43689570931383e-15,Wochenende,9.03120865402118
-6.107133070868461,0.6079914146340997,0.3928951488169142,-0.3739938310099216,3.164135620181696e-14,wetter woche+n+ende,3.090460899900257
-6.234138437065795,0.6959482832363253,0.355586186821311,-0.33649759382150646,2.8754776337791554e-14,Verkehrsbehinderungen,2.9363670743205716
-6.234138437065795,0.6959482832363253,0.355586186821311,-0.33649759382150646,2.8754776337791554e-14,woche+n+ende verkehr+s+behinderung+en,2.9363670743205716
-6.378227527045238,0.7954828371462386,0.30943822361709383,-0.29177292344201733,2.5424107263916085e-14,Fährausfälle,2.7616621297295283
-6.378227527045238,0.7954828371462386,0.30943822361709383,-0.29177292344201733,2.5424107263916085e-14,verkehr+s+behinderung+en fähr+ausfall+e,2.7616621297295283
-0.5515764854869794,-2.5778173951043626,0.16739292790828558,-0.036888297295493144,-1.176836406102666e-14,gesorgt,9.494371660756562
-6.430000194536161,0.8311316876841992,0.291723577991509,-0.27510041904297206,2.4091839634365897e-14,fähr+ausfall+e ge+sorg+t,2.6989432722421625
-5.391806724164432,0.25941575938128136,0.07129686223111577,-0.21021740583650722,2.7644553313166398e-14,gab,3.8827409739045606
-3.1930045816816266,-1.0687341721346377,0.20313408447045844,0.2923996095202973,-6.0285110237146e-14,Verletzte,6.454112611587862
-6.463924798082786,0.8544452830966622,0.27975728261706856,-0.26399557436213295,2.3203661214665772e-14,geb verletz+t+e,2.6578679486242396
-2.388971244468988,-1.5535866694071703,0.4038272848798631,-0.08905960268789728,-1.7208456881689926e-14,Hamburg,7.3924248877961425
-6.415096992561729,0.8208779226221778,0.296889196652043,-0.2799334711794873,2.4313884239290928e-14,verletz+t+e hamburg,2.716993576371716
-3.768836426262925,-0.7020377765296484,0.21561455763907056,-0.06850578672176129,-5.662137425588298e-15,wurde,5.770454177619413
-6.382575927078927,0.7984798817297423,0.3079748985952836,-0.2903851814490251,2.5202062658991053e-14,hamburg werd+e,2.756392978170768
-3.916335501303153,-0.5980348209437452,0.07923526090786957,-0.04860835597894159,6.661338147750939e-16,Fischmarkt,5.589942670795999
-6.3357725422375015,0.7661973959168229,0.3234983063961604,-0.3052027137926722,2.631228568361621e-14,werd+e fisch+markt,2.813118240074678
-0.7249441771244776,-2.4921553374060665,0.23686291434077605,-0.18996998654984482,6.8833827526759706e-15,überflutet,9.301229220026434
-6.273918438465889,0.7234639111217287,0.3432794186826571,-0.3243895299397627,2.786659791809143e-14,fisch+markt überflut+et,2.888117748538851
-4.907888210370011,-0.15519231105316944,0.08966049773880193,0.6433613827927374,-1.0347278589506459e-13,Für,4.5136000760408335
-6.377612583129993,0.7950589602226312,0.30964480991619675,-0.29196899120048,2.5424107263916085e-14,neue,2.7624073037143813
-6.377612583129993,0.7950589602226312,0.30964480991619675,-0.29196899120048,2.5424107263916085e-14,für neu+e,2.7624073037143813
-1.8871436013166134,-1.8864842711792327,0.522163914358096,-0.13939361358266003,-1.8318679906315083e-14,Woche,7.9941336807551995
-6.353560537832255,0.7784726688114969,0.31765682057606986,-0.2996020245842161,2.5868196473766147e-14,neu+e woche,2.791556484627824
-4.852996207300384,-0.04382186611713035,-0.05614348124201336,-0.01854417681458454,6.439293542825908e-15,prognostiziert,4.50101449096864
-6.318404501346013,0.7542054458622898,0.32913477221073356,-0.310635130822473,2.6756374893466273e-14,woche prognostizier+t,2.8341740060962346
