keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Dauerregen',0.43051204729961895,1.3999627293030206,-0.12086748168437615,0.8597399714098374,17.0
'Entsiegelung Regen',0.25980381172320505,1.0,2.140872096444188,1.0,1.0
'Erdrutsche Regen',-0.007412043925558875,0.41806468974084676,1.2631731927315637,1.1694267345200524,15.0
'Extremwetter Regen',1.1388175868950683,0.800393395304263,-0.5828751728903782,0.01640012890749291,2.0
'Hangrutschung Niederschlag',1.1809348660361014,0.464798384346932,-0.23423898344676852,0.36619200974234234,3.0
'Hochwasser Regen',-0.045409292488303304,0.7408670280857153,-0.2242899031128777,0.5784954899169878,9.0
'Hochwasser Starkregen',-0.23918558037837429,0.2697815475355432,1.3496394699711605,1.303844061721918,4.0
'Hochwasser',0.06822402116693543,0.680596645299693,-0.5618293503315934,0.04616341660142395,2.0
'Hochwasserwarnung Niederschlag',0.9886132471041836,1.0,-0.5291868854099868,1.0,1.0
'Kanalisation Regen',0.7582892929646905,0.6596093119974454,0.012704835017443105,1.1965158832109433,5.0
'Pegelstände',0.9240014065542366,1.0870211122488507,1.2798098902622808,0.8324401720342236,3.0
'Regen Dachbegrünung',-0.33042405752130655,0.7464869837049025,-0.5963646430136986,0.11341984410917402,5.0
'Regenmassen',-0.6430580351940716,1.0,0.07233003673084859,1.0,1.0
'Regenmengen',0.7899557432801495,0.530229118891872,-0.6605110847674451,0.0,3.0
'Starkregen',-0.10796168910748596,0.9799473472905141,-0.23743465581240916,0.7155847329148967,58.0
'Unwetter Regen',0.2663612717940872,1.036319263346434,0.08164751943132273,0.8440096740990375,16.0
'Unwetter',-0.14948202659787962,0.9433831325920885,-0.029584428617846183,0.9921271563806886,79.0
'Unwetterwarnung',-0.5148390357163671,0.6426299222074463,-0.3816930888041237,0.4085621569114271,13.0
'Überflutung Regen',0.17844897807926988,1.0,0.10523551878139197,1.0,1.0
